date,low,high,median,reality_report,reality
2020-10-01,3973,3973,3973,3973,3948
2020-10-08,4959,4959,4959,4959,4983
2020-10-15,7737,7737,7737,7737,7653
2020-10-22,11539,11539,11539,11539,11521
2020-10-29,15256,15256,15256,15256,15231
2020-11-05,16327,16327,16327,16327,16255
2020-11-12,14027,14027,14027,14027,13942
2020-11-19,10234,10234,10234,10234,10178
2020-11-26,7763,7763,7763,7763,7705
2020-12-03,7298,7298,7298,7298,7202
2020-12-10,6982,6982,6982,6982,6894
2020-12-17,6965,6965,6965,6965,6896
2020-12-24,6372,6372,6372,6372,6296
2020-12-31,6717,6717,6717,6717,6672
2021-01-07,7746,7746,7746,7746,7572
2021-01-14,8526,8313,"8419,5",8753,8552
2021-01-21,9338,9318,9328,9696,9441
2021-01-28,9500,9402,9451,9914,9310
2021-02-04,9495,9779,9637,NA,9295
2021-02-11,9343,11894,"10618,5",NA,8152
2021-02-18,9443,15013,12228,NA,8005
2021-02-25,9919,19933,14926,NA,8290
2021-03-04,10941,27595,19268,NA,8498
2021-03-11,12570,NA,NA,NA,8874
2021-03-18,15099,NA,NA,NA,10213
2021-03-25,18236,NA,NA,NA,11444
2021-04-01,22484,NA,NA,NA,12492
2021-04-08,27737,NA,NA,NA,12140
