date,high,low,median,reality_report,reality
2021-11-30,1930,1930,1930,NA,1861
2021-12-01,1980,1980,1980,1930,1988
2021-12-02,2010,2010,2010,1980,1967
2021-12-03,2120,2120,2120,2010,1996
2021-12-04,2230,2230,2230,2120,2120
2021-12-05,2290,2290,2290,2230,2276
2021-12-06,2380,2380,2380,2290,2348
2021-12-07,2400,2400,2400,2380,2383
2021-12-08,2450,2450,2450,2400,2423
2021-12-09,2430,2430,2430,2450,2459
2021-12-10,2520,2520,2520,2540,2523
2021-12-11,2580,2580,2580,2620,2673
2021-12-12,2630,2630,2630,2740,2726
2021-12-13,2730,2730,2730,2780,2776
2021-12-14,2770,2770,2770,2820,2762
2021-12-15,2830,2830,2830,2840,2832
2021-12-16,2870,2870,2870,2900,2861
2021-12-17,2950,2950,2950,2940,2863
2021-12-18,2990,2990,2990,2960,2953
2021-12-19,3020,3020,3020,3050,3016
2021-12-20,3070,3070,3070,3100,3069
2021-12-21,3050,3050,3050,3100,3129
2021-12-22,3200,3200,3200,3120,3167
2021-12-23,3150,3150,3150,3150,3195
2021-12-24,3330,3330,3330,3200,3212
2021-12-25,3250,3250,3250,3260,3240
2021-12-26,3320,3320,3320,3320,3319
2021-12-27,3370,3370,3370,3350,3378
2021-12-28,3410,3410,3410,3380,3408
2021-12-29,3440,3440,3440,3400,3446
2021-12-30,3460,3460,3460,3450,3468
2021-12-31,3440,3440,3440,3420,3482
2022-01-01,3470,3470,3470,3490,3558
2022-01-02,3500,3500,3500,3590,3566
2022-01-03,3550,3550,3550,NA,3595
2022-01-04,3590,3590,3590,NA,3652
2022-01-05,3610,3610,3610,NA,3704
2022-01-06,3630,3630,3630,NA,3707
2022-01-07,3730,3680,3705,NA,3731
2022-01-08,3770,3720,3745,NA,3782
2022-01-09,3820,3730,3775,NA,3833
2022-01-10,3860,3790,3825,NA,3855
2022-01-11,3900,3810,3855,NA,3810
2022-01-12,3970,3820,3895,NA,3752
2022-01-13,4040,3880,3960,NA,3707
2022-01-14,4110,3890,4000,NA,3708
2022-01-15,4190,3920,4055,NA,3763
2022-01-16,4310,3980,4145,NA,3723
2022-01-17,4430,3980,4205,NA,3683
2022-01-18,4680,3990,4335,NA,3678
2022-01-19,4790,4010,4400,NA,3617
2022-01-20,4890,4050,4470,NA,3583
2022-01-21,5050,4090,4570,NA,3599
2022-01-22,5200,4100,4650,NA,3604
2022-01-23,5390,4140,4765,NA,3564
2022-01-24,5570,4170,4870,NA,3533
2022-01-25,5810,4190,5000,NA,3514
2022-01-26,5990,4210,5100,NA,3475
2022-01-27,6150,4240,5195,NA,3466
2022-01-28,6350,4270,5310,NA,3475
2022-01-29,6530,4290,5410,NA,3522
2022-01-30,6700,4310,5505,NA,3587
2022-01-31,6830,4310,5570,NA,3544
2022-02-01,7050,4360,5705,NA,3492
2022-02-02,7170,4360,5765,NA,3472
2022-02-03,7350,4380,5865,NA,3452
2022-02-04,7450,4390,5920,NA,3427
2022-02-05,7550,4400,5975,NA,3460
2022-02-06,7630,4400,6015,NA,3396
2022-02-07,7720,4420,6070,NA,3352
2022-02-08,7760,4390,6075,NA,3259
2022-02-09,7770,4370,6070,NA,3218
2022-02-10,7780,4360,6070,NA,3174
2022-02-11,7760,4340,6050,NA,3160
2022-02-12,7720,4330,6025,NA,3151
2022-02-13,7640,4290,5965,NA,3089
2022-02-14,7560,4290,5925,NA,2987
2022-02-15,7520,4210,5865,NA,2919
2022-02-16,7420,4180,5800,NA,2840
2022-02-17,7340,4120,5730,NA,2796
2022-02-18,7100,4080,5590,NA,2800
2022-02-19,7020,4030,5525,NA,2781
2022-02-20,6890,3950,5420,NA,2719
2022-02-21,6720,3910,5315,NA,2634
2022-02-22,6530,3840,5185,NA,2541
2022-02-23,6400,3810,5105,NA,2434
2022-02-24,6240,3730,4985,NA,2375
2022-02-25,6090,3690,4890,NA,2381
2022-02-26,5870,3620,4745,NA,2344
2022-02-27,5680,3510,4595,NA,2302
2022-02-28,5430,3380,4405,NA,2228
2022-03-01,5210,3340,4275,NA,2131
2022-03-02,5080,3260,4170,NA,2061
2022-03-03,4910,3160,4035,NA,1993
2022-03-04,4700,3100,3900,NA,2001
2022-03-05,4520,3020,3770,NA,2010
2022-03-06,4350,2940,3645,NA,1953
2022-03-07,4160,2860,3510,NA,1883
2022-03-08,3990,2790,3390,NA,1852
2022-03-09,3830,2700,3265,NA,1801
2022-03-10,3640,2600,3120,NA,1786
2022-03-11,3500,2540,3020,NA,1789
2022-03-12,3280,2470,2875,NA,1760
2022-03-13,3140,2440,2790,NA,1715
2022-03-14,2980,2360,2670,NA,1662
2022-03-15,2850,2230,2540,NA,1630
2022-03-16,2720,2120,2420,NA,1608
2022-03-17,2570,2040,2305,NA,1581
2022-03-18,2480,1960,2220,NA,1577
2022-03-19,2410,1910,2160,NA,1567
2022-03-20,2320,1880,2100,NA,1555
2022-03-21,2170,1800,1985,NA,1518
2022-03-22,2050,1790,1920,NA,1478
2022-03-23,1990,1750,1870,NA,1445
2022-03-24,NA,1670,NA,NA,1436
2022-03-25,NA,1540,NA,NA,1442
2022-03-26,NA,1470,NA,NA,1485
2022-03-27,NA,1410,NA,NA,1495
2022-03-28,NA,1350,NA,NA,1505
2022-03-29,NA,1280,NA,NA,1512
2022-03-30,NA,1230,NA,NA,1500
2022-03-31,NA,1160,NA,NA,1488
2022-04-01,NA,NA,NA,NA,1502
