,MAE,ME,Max Error,Increasing,MAPE,endpoints,MAE (beds),Max error (beds),scenario
Scenario: 2020/10/30 ICU ICU,8.0,0.6,17.8,True,15.2,ICU,554.96,1234.786,Optimist
Scenario: 2021/02/08 New hosp.,17.7,17.7,29.5,True,42.8,New hosp.,537.372,895.62,Optimist
Scenario: 2021/02/14 New hosp.,10.8,10.8,13.3,True,26.5,New hosp.,327.88800000000003,403.788,Optimist
Scenario: 2021/02/23 New hosp.,17.3,-17.3,25.1,True,40.1,New hosp.,525.2280000000001,762.0360000000001,Optimist
Scenario: 2021/04/26 New hosp.,8.3,8.3,10.3,False,60.2,New hosp.,251.98800000000003,312.708,Optimist
Scenario: 2021/05/21 New hosp.,4.1,-4.1,4.8,False,43.0,New hosp.,124.47599999999998,145.72799999999998,Optimist
Scenario: 2021/05/21 ICU ICU,8.8,-8.8,10.7,False,27.8,ICU,610.4560000000001,742.259,Optimist
Scenario: 2021/07/26 ICU ICU,6.9,4.1,10.4,True,30.7,ICU,478.6530000000001,721.4480000000001,Optimist
Scenario: 2021/07/26 New hosp.,14.1,14.1,21.3,True,119.3,New hosp.,428.07599999999996,646.668,Optimist
Scenario: 2021/08/05 New hosp.,2.3,0.5,5.5,True,17.6,New hosp.,69.82799999999999,166.98,Optimist
Scenario: 2021/08/05 ICU ICU,5.7,-5.7,10.3,True,25.0,ICU,395.40900000000005,714.5110000000001,Optimist
Scenario: 2021/10/04 New hosp.,13.2,-13.2,33.6,False,82.9,New hosp.,400.75199999999995,1020.096,Optimist
Scenario: 2022/01/07 New hosp.,22.4,22.4,35.8,True,33.0,New hosp.,680.064,1086.888,Optimist
Scenario: 2022/01/07 ICU ICU,7.5,0.3,15.4,True,23.6,ICU,520.2750000000001,1068.298,Optimist
Scenario: 2020/10/30 ICU ICU,19.0,19.0,25.8,True,35.0,ICU,1318.0300000000002,1789.746,Median
Scenario: 2021/02/08 New hosp.,27.7,27.7,40.6,True,67.6,New hosp.,840.972,1232.616,Median
Scenario: 2021/02/14 New hosp.,26.1,26.1,52.6,True,62.4,New hosp.,792.3960000000001,1596.936,Median
Scenario: 2021/02/23 New hosp.,13.5,-13.5,17.2,True,31.8,New hosp.,409.86,522.192,Median
Scenario: 2021/04/26 New hosp.,15.2,15.2,18.9,False,122.7,New hosp.,461.472,573.804,Median
Scenario: 2021/05/21 New hosp.,2.0,-1.5,3.9,False,17.9,New hosp.,60.72,118.404,Median
Scenario: 2021/05/21 ICU ICU,6.9,-6.9,8.0,False,20.9,ICU,478.6530000000001,554.96,Median
Scenario: 2021/07/26 ICU ICU,26.8,24.1,49.3,True,113.6,ICU,1859.1160000000002,3419.941,Median
Scenario: 2021/07/26 New hosp.,37.8,37.8,62.1,True,345.1,New hosp.,1147.608,1885.356,Median
Scenario: 2021/08/05 New hosp.,26.4,26.4,36.3,True,234.6,New hosp.,801.5039999999999,1102.068,Median
Scenario: 2021/08/05 ICU ICU,11.5,11.0,17.4,True,47.9,ICU,797.7550000000001,1207.038,Median
Scenario: 2021/10/04 New hosp.,10.5,-10.5,26.4,False,66.2,New hosp.,318.78,801.5039999999999,Median
Scenario: 2022/01/07 New hosp.,43.7,43.7,67.4,True,63.9,New hosp.,1326.732,2046.2640000000001,Median
Scenario: 2022/01/07 ICU ICU,11.4,5.6,23.5,True,31.2,ICU,790.8180000000001,1630.1950000000002,Median
Scenario: 2020/10/30 ICU ICU,48.5,48.5,83.5,True,96.5,ICU,3364.445,5792.395,Pessimist
Scenario: 2021/02/08 New hosp.,43.5,43.5,67.7,True,108.0,New hosp.,1320.66,2055.372,Pessimist
Scenario: 2021/02/14 New hosp.,46.2,46.2,110.7,True,109.4,New hosp.,1402.632,3360.852,Pessimist
Scenario: 2021/02/23 New hosp.,9.6,4.0,30.4,True,21.5,New hosp.,291.45599999999996,922.944,Pessimist
Scenario: 2021/04/26 New hosp.,24.3,24.3,39.5,False,213.2,New hosp.,737.748,1199.22,Pessimist
Scenario: 2021/05/21 New hosp.,3.2,1.0,7.4,False,40.1,New hosp.,97.152,224.66400000000002,Pessimist
Scenario: 2021/05/21 ICU ICU,5.0,-5.0,7.1,False,14.9,ICU,346.85,492.527,Pessimist
Scenario: 2021/07/26 ICU ICU,52.3,49.9,105.6,True,221.8,ICU,3628.051,7325.472,Pessimist
Scenario: 2021/07/26 New hosp.,69.0,69.0,123.5,True,653.0,New hosp.,2094.84,3749.46,Pessimist
Scenario: 2021/08/05 New hosp.,41.0,41.0,58.7,True,371.4,New hosp.,1244.76,1782.132,Pessimist
Scenario: 2021/08/05 ICU ICU,32.4,32.1,51.8,True,136.6,ICU,2247.588,3593.366,Pessimist
Scenario: 2021/10/04 New hosp.,6.8,-6.8,14.1,False,49.4,New hosp.,206.44799999999998,428.07599999999996,Pessimist
Scenario: 2022/01/07 New hosp.,64.4,64.4,102.7,True,93.7,New hosp.,1955.1840000000002,3117.972,Pessimist
Scenario: 2022/01/07 ICU ICU,15.8,10.4,36.0,True,40.3,ICU,1096.046,2497.32,Pessimist
Scenario: 2020/10/30 ICU ICU,13.8,-13.3,26.6,True,22.3,ICU,957.3060000000002,1845.2420000000002,Constant Baseline
Scenario: 2021/02/08 New hosp.,3.9,1.6,8.9,True,9.7,New hosp.,118.404,270.204,Constant Baseline
Scenario: 2021/02/14 New hosp.,2.1,-1.3,8.6,True,4.9,New hosp.,63.756,261.096,Constant Baseline
Scenario: 2021/02/23 New hosp.,5.3,-5.3,14.0,True,11.8,New hosp.,160.908,425.03999999999996,Constant Baseline
Scenario: 2021/04/26 New hosp.,30.4,30.4,44.1,False,264.7,New hosp.,922.944,1338.876,Constant Baseline
