,Average uncertainty (beds),"MAE (median, beds)","MAE (low, beds)","MAE (high, beds)","MAE (constant, beds)","MAE (damped_trend, beds)",Historical peak,MAE (median),MAE (optimist),MAE (pessimist),MAPE (median),MAPE (optimist),MAPE (pessimist),MAPE (constant),MAPE (damped_trend),Increasing
Scenario: 2020/10/30 ICU ICU,3352.5,1327.7,560.9,3393.3,968.6,2572.6,70.0,19.0,8.0,48.5,35.0,15.2,96.5,22.3,77.4,True
Scenario: 2021/02/08 New hosp.,785.1,841.1,538.7,1323.8,119.4,351.3,30.4,27.7,17.7,43.5,67.6,42.8,108.0,9.7,26.9,True
Scenario: 2021/02/14 New hosp.,1075.9,792.7,328.0,1403.9,64.3,110.2,30.4,26.1,10.8,46.2,62.4,26.5,109.4,4.9,8.5,True
Scenario: 2021/02/23 New hosp.,646.4,411.2,525.0,292.4,161.7,68.5,30.4,13.5,17.3,9.6,31.8,40.1,21.5,11.8,4.8,True
Scenario: 2021/04/26 New hosp.,485.4,463.4,252.9,738.4,925.4,109.4,30.4,15.2,8.3,24.3,122.7,60.2,213.2,264.7,30.5,False
Scenario: 2021/05/21 New hosp.,154.8,59.8,123.4,98.3,253.6,40.9,30.4,2.0,4.1,3.2,17.9,43.0,40.1,101.1,17.4,False
Scenario: 2021/05/21 ICU ICU,266.5,480.2,618.2,351.8,1287.2,159.5,70.0,6.9,8.8,5.0,20.9,27.8,14.9,60.0,7.9,False
Scenario: 2021/07/26 ICU ICU,3207.4,1872.7,485.5,3661.8,846.3,631.5,70.0,26.8,6.9,52.3,113.6,30.7,221.8,49.7,36.4,True
Scenario: 2021/07/26 New hosp.,1669.2,1149.7,429.8,2099.0,209.0,445.8,30.4,37.8,14.1,69.0,345.1,119.3,653.0,43.7,177.7,True
Scenario: 2021/08/05 New hosp.,1231.1,801.8,68.6,1245.1,156.7,710.8,30.4,26.4,2.3,41.0,234.6,17.6,371.4,58.5,276.6,True
Scenario: 2021/08/05 ICU ICU,2647.9,806.2,402.0,2268.2,420.2,420.2,70.0,11.5,5.7,32.4,47.9,25.0,136.6,23.1,23.1,True
Scenario: 2021/10/04 New hosp.,193.5,318.4,401.5,208.0,275.0,291.4,30.4,10.5,13.2,6.8,66.2,82.9,49.4,45.3,50.5,False
Scenario: 2022/01/07 New hosp.,1275.6,1327.9,680.9,1956.5,507.1,134.2,30.4,43.7,22.4,64.4,63.9,33.0,93.7,24.3,6.5,True
Scenario: 2022/01/07 ICU ICU,712.7,801.1,526.8,1104.3,961.7,1596.8,70.0,11.4,7.5,15.8,31.2,23.6,40.3,52.1,81.9,True
