,Scenario,Scenario type,Average uncertainty (beds),Max uncertainty,Global accuracy,"MAE (median, beds)","MAE (low, beds)","MAE (high, beds)",Period
"Scenario: 2020/04/28 ICU, period: 0 days - 14 days",2020/04/28 ICU,ICU,0.0,0.0,13.3,98.1,98.1,98.1,0 days - 14 days
"Scenario: 2020/04/28 ICU, period: 14 days - 28 days",2020/04/28 ICU,ICU,0.0,0.0,13.3,122.3,122.3,122.3,14 days - 28 days
"Scenario: 2020/04/28 ICU, period: 28 days - 42 days",2020/04/28 ICU,ICU,156.0,487.0,13.3,72.6,85.4,158.1,28 days - 42 days
"Scenario: 2020/04/28 ICU, period: 42 days - 56 days",2020/04/28 ICU,ICU,1441.4,2142.0,13.3,310.6,73.0,1513.6,42 days - 56 days
"Scenario: 2020/10/30 ICU, period: 0 days - 14 days",2020/10/30 ICU,ICU,440.9,1202.0,40.0,815.2,571.7,1012.6,0 days - 14 days
"Scenario: 2020/10/30 ICU, period: 14 days - 28 days",2020/10/30 ICU,ICU,2955.6,4531.0,40.0,1655.1,397.8,3348.4,14 days - 28 days
"Scenario: 2020/10/30 ICU, period: 28 days - 42 days",2020/10/30 ICU,ICU,5881.1,6793.0,40.0,1563.9,580.1,5301.1,28 days - 42 days
"Scenario: 2021/01/16, period: 0 days - 14 days",2021/01/16,New hosp.,319.9,573.3,31.1,129.1,218.6,134.3,0 days - 14 days
"Scenario: 2021/01/16, period: 14 days - 28 days",2021/01/16,New hosp.,1138.3,1862.7,31.1,241.2,103.9,1053.4,14 days - 28 days
"Scenario: 2021/01/16, period: 28 days - 42 days",2021/01/16,New hosp.,2816.0,3638.6,31.1,960.3,137.4,2953.5,28 days - 42 days
"Scenario: 2021/01/16, period: 42 days - 56 days",2021/01/16,New hosp.,2131.9,3468.6,31.1,1661.5,352.4,2484.3,42 days - 56 days
"Scenario: 2021/02/02, period: 0 days - 14 days",2021/02/02,New hosp.,315.6,672.5,0.0,293.0,125.0,440.5,0 days - 14 days
"Scenario: 2021/02/02, period: 14 days - 28 days",2021/02/02,New hosp.,1344.6,2108.1,0.0,840.8,240.4,1585.0,14 days - 28 days
"Scenario: 2021/02/02, period: 28 days - 42 days",2021/02/02,New hosp.,1599.7,2379.1,0.0,1262.3,488.9,2088.6,28 days - 42 days
