,MAE,ME,Max Error,MAPE,endpoints,MAE (beds),Max error (beds)
Scenario: 2020/04/28 ICU,8.6,6.8,35.1,166.9,ICU,602.0,2457.0
Scenario: 2020/10/30 ICU,48.5,48.5,83.5,96.5,ICU,3395.0,5845.0
Scenario: 2021/01/16,42.1,41.9,90.9,144.0,New hosp.,1768.2,3817.8
Scenario: 2021/02/02,34.2,34.2,67.0,115.2,New hosp.,1436.4,2814.0
Scenario: 2021/02/08,29.1,29.1,46.6,99.8,New hosp.,1222.2,1957.2
Scenario: 2021/02/23,7.0,2.9,22.0,21.5,New hosp.,294.0,924.0
Scenario: 2021/04/26,16.9,16.9,27.9,206.0,New hosp.,709.8,1171.8
Scenario: 2021/05/21,2.3,0.7,5.3,40.1,New hosp.,96.6,222.6
Scenario: 2021/05/21 ICU,5.0,-5.0,7.1,14.9,ICU,350.0,497.0
Scenario: 2021/07/26 ICU,72.5,71.1,151.2,307.5,ICU,5075.0,10584.0
Scenario: 2021/07/26,50.0,49.9,89.4,653.0,New hosp.,2100.0,3754.8
Scenario: 2021/08/05,29.6,29.6,42.5,371.4,New hosp.,1243.2,1785.0
Scenario: 2021/08/05 ICU,59.6,59.6,93.2,253.6,ICU,4172.0,6524.0
Scenario: 2021/10/04,5.0,-5.0,10.2,49.4,New hosp.,210.0,428.4
Scenario: 2022/01/07,46.6,46.6,74.3,93.7,New hosp.,1957.2,3120.6
Scenario: 2022/01/07 ICU,32.9,32.7,65.8,86.7,ICU,2303.0,4606.0
