,MAE,ME,Max Error,MAPE,endpoints,MAE (beds),Max error (beds)
Scenario: 2020/04/28 ICU ICU,3.8,-1.7,6.1,17.8,ICU,266.0,427.0
Scenario: 2020/10/30 ICU ICU,8.0,0.6,17.8,15.2,ICU,560.0,1246.0
Scenario: 2021/01/16 New hosp.,7.7,2.9,20.0,18.1,New hosp.,234.07999999999998,608.0
Scenario: 2021/02/02 New hosp.,10.0,10.0,23.0,24.1,New hosp.,304.0,699.1999999999999
Scenario: 2021/02/08 New hosp.,14.4,14.4,26.2,34.6,New hosp.,437.76,796.4799999999999
Scenario: 2021/02/23 New hosp.,17.3,-17.3,25.1,40.1,New hosp.,525.92,763.04
Scenario: 2021/04/26 New hosp.,7.3,7.3,9.3,52.9,New hosp.,221.92,282.72
Scenario: 2021/05/21 New hosp.,4.1,-4.1,4.8,43.0,New hosp.,124.63999999999999,145.92
Scenario: 2021/05/21 ICU ICU,8.8,-8.8,10.7,27.8,ICU,616.0,749.0
Scenario: 2021/07/26 ICU ICU,6.9,4.1,10.4,30.7,ICU,483.0,728.0
Scenario: 2021/07/26 New hosp.,14.1,14.1,21.3,119.3,New hosp.,428.64,647.52
Scenario: 2021/08/05 New hosp.,2.3,0.5,5.5,17.6,New hosp.,69.91999999999999,167.2
Scenario: 2021/08/05 ICU ICU,4.6,-4.6,9.2,20.4,ICU,322.0,644.0
Scenario: 2021/10/04 New hosp.,13.2,-13.2,33.6,82.9,New hosp.,401.28,1021.4399999999999
Scenario: 2022/01/07 New hosp.,22.4,22.4,35.8,33.0,New hosp.,680.9599999999999,1088.32
Scenario: 2022/01/07 ICU ICU,10.6,10.2,19.7,29.7,ICU,742.0,1379.0
